"","INSTNM","CITY","STABBR","LATITUDE","LONGITUDE","ACTCMMID","ACTENMID","ACTMTMID","ACTWRMID","INSTURL","ADM_RATE","TUITIONFEE_IN","TUITIONFEE_OUT","OPEID","SAT_AVG","SATMTMID","SATVRMID","SATWRMID","PCT_WHITE","PCT_BLACK","PCT_ASIAN","PCT_HISPANIC"
"1787","Concordia University-Saint Paul","Saint Paul","MN","44.949759","-93.154861","NULL","NULL","NULL","NULL","www.csp.edu","0.5726","21250","21250",234700,"NULL","NULL","NULL","NULL","85.5","5.71999979019165","4.17000007629394","3.97000002861023"
"1788","Dakota County Technical College","Rosemount","MN","44.737255","-93.07805","NULL","NULL","NULL","NULL","www.dctc.edu/","NULL","5662","5662",1040200,"NULL","NULL","NULL","NULL","90.7200012207031","2.82999992370605","2.79999995231628","2.99000000953674"
"1789","Martin Luther College","New Ulm","MN","44.30526","-94.472326","24","24","25","NULL","www.mlc-wels.edu","0.8328","13980","13980",236100,"1109","615","615","NULL","90.4199981689453","3.65000009536743","2.09999990463256","4.46000003814697"
"1790","Lake Superior College","Duluth","MN","46.78455","-92.145151","NULL","NULL","NULL","NULL","www.lsc.edu","NULL","5096","9470",575700,"NULL","NULL","NULL","NULL","93.5299987792968","1.14999997615814","0.95999997854232","1.12999999523162"
"1791","Cosmetology Careers Unlimited College of Hair Skin and Nails","Duluth","MN","46.785596","-92.100581","NULL","NULL","NULL","NULL","www.ccucollege.net","NULL","NULL","NULL",960000,"NULL","NULL","NULL","NULL","93.0999984741211","1.11000001430511","0.69999998807907","0.99000000953674"
"1792","Duluth Business University","Duluth","MN","46.741732","-92.157675","NULL","NULL","NULL","NULL","www.dbumn.edu","NULL","18975","18975",989200,"NULL","NULL","NULL","NULL","92.6699981689453","1.08000004291534","0.69999998807907","0.93000000715255"
"1793","Minnesota State Community and Technical College","Fergus Falls","MN","46.289194","-96.097321","NULL","NULL","NULL","NULL","www.minnesota.edu","NULL","5338","5338",554100,"NULL","NULL","NULL","NULL","94.1900024414062","0.76999998092651","0.68999999761581","1.74000000953674"
"1794","Minnesota West Community and Technical College","Granite Falls","MN","44.80755","-95.56172","NULL","NULL","NULL","NULL","www.mnwest.edu","NULL","5640","10736",526300,"NULL","NULL","NULL","NULL","92.0299987792968","2.42000007629394","1.25999999046325","4.03000020980835"
"1795","Gustavus Adolphus College","Saint Peter","MN","44.323626","-93.972196","NULL","NULL","NULL","NULL","WWW.GUSTAVUS.EDU","0.648","42840","42840",235300,"NULL","NULL","NULL","NULL","91.1100006103515","3.02999997138977","2.4300000667572","3.05999994277954"
"1796","Hamline University","Saint Paul","MN","44.966246","-93.164479","24","24","24","NULL","www.hamline.edu","0.703","39181","39181",235400,"1104","555","540","NULL","87.4499969482422","4.61999988555908","3.41000008583068","3.69000005722045"
"1797","Hazelden Betty Ford Graduate School of Addiction Studies","Center City","MN","45.375319","-92.805285","NULL","NULL","NULL","NULL","www.hazeldenbettyford.edu","NULL","NULL","NULL",4044300,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1798","Hennepin Technical College","Brooklyn Park","MN","45.096534","-93.397759","NULL","NULL","NULL","NULL","www.hennepintech.edu","NULL","5130","5130",1049100,"NULL","NULL","NULL","NULL","85.5699996948242","6.07000017166137","4.17000007629394","2.96000003814697"
